,city,max_temp,humidity,wind_speed,lat,lng,country,date
0,Hilo,73.17,94,0.0,19.7297,-155.09,US,1628684947
1,Fairbanks,52.5,84,4.61,64.8378,-147.7164,US,1628684944
2,Busselton,50.04,75,9.93,-33.65,115.3333,AU,1628685029
3,Albany,73.18,84,3.83,42.6001,-73.9662,US,1628685029
4,Barrow,33.82,89,11.5,71.2906,-156.7887,US,1628685029
5,Dikson,40.78,89,18.39,73.5069,80.5464,RU,1628685030
6,Steamboat Springs,45.63,65,0.0,40.485,-106.8317,US,1628685030
7,Cap-aux-Meules,69.82,88,8.05,47.3821,-61.8597,CA,1628685031
8,Gamba,79.88,68,10.27,-2.65,10.0,GA,1628685032
9,Punta Arenas,39.31,81,12.66,-53.15,-70.9167,CL,1628684733
10,Airai,58.73,89,3.47,-8.9266,125.4092,TL,1628685032
11,Yellowknife,48.72,100,3.44,62.456,-114.3525,CA,1628685033
12,Vaini,68.16,83,9.22,-21.2,-175.2,TO,1628685034
13,Carnarvon,57.27,42,9.22,-24.8667,113.6333,AU,1628685034
14,Castro,60.01,78,3.71,-24.7911,-50.0119,BR,1628685035
15,Saskylakh,60.31,68,12.28,71.9167,114.0833,RU,1628685028
16,Klaksvík,54.52,87,12.46,62.2266,-6.589,FO,1628685036
17,Crotone,96.75,29,14.97,39.0851,17.1178,IT,1628684978
18,Butaritari,83.05,72,12.44,3.0707,172.7902,KI,1628685036
19,Rikitea,70.61,67,9.28,-23.1203,-134.9692,PF,1628685036
20,Kemijärvi,67.41,62,9.78,66.7131,27.4306,FI,1628685037
21,Saldanha,59.05,71,11.39,-33.0117,17.9442,ZA,1628684864
22,Flinders,61.72,73,1.01,-34.5833,150.8552,AU,1628685037
23,Sørland,55.26,96,10.16,67.667,12.6934,NO,1628685037
24,Bambous Virieux,75.45,73,6.91,-20.3428,57.7575,MU,1628685038
25,Moa,81.36,73,12.8,20.6569,-74.9403,CU,1628685038
26,Hermanus,59.81,72,19.1,-34.4187,19.2345,ZA,1628685039
27,Bengkulu,77.4,87,2.3,-3.8004,102.2655,ID,1628685040
28,Hong Kong,86.76,83,6.17,22.2855,114.1577,HK,1628685040
29,Ponta do Sol,76.3,76,2.13,32.6667,-17.1,PT,1628685040
30,Östersund,64.85,59,10.36,63.1792,14.6357,SE,1628685040
31,Wanning,83.03,91,5.68,18.8003,110.3967,CN,1628685040
32,Saint Anthony,68.86,86,5.75,45.0205,-93.218,US,1628685041
33,Tasiilaq,51.96,81,6.87,65.6145,-37.6368,GL,1628685041
34,Bonthe,80.64,79,11.7,7.5264,-12.505,SL,1628685042
35,Port Elizabeth,71.89,21,12.66,-33.918,25.5701,ZA,1628685004
36,Gagra,81.52,73,5.17,43.3283,40.2239,GE,1628684821
37,Manaus,82.89,74,4.61,-3.1019,-60.025,BR,1628685027
38,Isangel,69.22,71,18.43,-19.55,169.2667,VU,1628685043
39,Ushuaia,35.26,69,12.66,-54.8,-68.3,AR,1628685044
40,Hithadhoo,79.48,86,16.69,-0.6,73.0833,MV,1628685044
41,East London,74.34,40,8.05,-33.0153,27.9116,ZA,1628684864
42,Bluff,51.8,78,15.19,-46.6,168.3333,NZ,1628685045
43,Mahébourg,75.49,73,6.91,-20.4081,57.7,MU,1628685045
44,Jackson,63.99,63,3.44,42.4165,-122.8345,US,1628685045
45,Itaituba,80.76,89,3.44,-4.2761,-55.9836,BR,1628685046
46,Tateyama,80.62,85,20.07,34.9833,139.8667,JP,1628685046
47,Takoradze,81.99,69,13.29,4.8845,-1.7554,GH,1628685046
48,Nioro,88.14,55,7.25,13.35,-15.75,GM,1628685047
49,Kapaa,76.14,78,9.22,22.0752,-159.319,US,1628685047
50,New Norfolk,45.25,69,3.0,-42.7826,147.0587,AU,1628685047
51,Khovd,75.69,30,4.81,48.0056,91.6419,MN,1628685048
52,Mataura,51.48,84,5.91,-46.1927,168.8643,NZ,1628685048
53,Guerrero Negro,74.89,70,2.1,27.9769,-114.0611,MX,1628685048
54,Upernavik,42.96,90,17.76,72.7868,-56.1549,GL,1628685049
55,Ribeira Grande,75.6,78,14.97,38.5167,-28.7,PT,1628685049
56,Kaitangata,45.5,88,6.11,-46.2817,169.8464,NZ,1628685049
57,Provideniya,44.24,78,2.19,64.3833,-173.3,RU,1628684821
58,West Plains,73.65,88,3.0,36.7281,-91.8524,US,1628685050
59,George Town,84.88,75,3.44,5.4112,100.3354,MY,1628685050
60,Fortuna,51.94,100,0.0,40.5982,-124.1573,US,1628685050
61,Bredasdorp,63.72,52,17.27,-34.5322,20.0403,ZA,1628685051
62,Muyezerskiy,72.28,42,7.36,63.9333,31.65,RU,1628685051
63,Grindavik,54.37,87,8.05,63.8424,-22.4338,IS,1628685051
64,Erenhot,79.81,24,1.86,43.6475,111.9767,CN,1628685053
65,Harper,81.73,67,13.53,4.375,-7.7169,LR,1628685053
66,Edgewater,78.64,94,0.0,28.9889,-80.9023,US,1628685054
